"service_id","date","exception_type"
"GO104_160000440","20160404","1"
"GO104_160000440","20160405","1"
"GO104_160000440","20160406","1"
"GO104_160000440","20160407","1"
"GO104_160000440","20160414","1"
"GO104_160000440","20160415","1"
"GO104_160000440","20160418","1"
"GO104_160000440","20160419","1"
"GO104_160000440","20160420","1"
"GO104_160000440","20160421","1"
"GO104_160000440","20160422","1"
"GO104_160000440","20160428","1"
"GO104_160000440","20160505","1"
"GO104_160000440","20160506","1"
"GO104_160000440","20160509","1"
"GO104_160000440","20160510","1"
"GO104_160000440","20160511","1"
"GO104_160000440","20160512","1"
"GO104_160000440","20160513","1"
"GO104_160000440","20160516","1"
"GO104_160000441","20160307","1"
"GO104_160000441","20160308","1"
"GO104_160000441","20160309","1"
"GO104_160000441","20160310","1"
"GO104_160000441","20160311","1"
"GO104_160000441","20160314","1"
"GO104_160000441","20160315","1"
"GO104_160000441","20160316","1"
"GO104_160000441","20160317","1"
"GO104_160000441","20160318","1"
"GO104_160000441","20160321","1"
"GO104_160000441","20160322","1"
"GO104_160000441","20160323","1"
"GO104_160000441","20160324","1"
"GO104_160000441","20160325","1"
"GO104_160000441","20160328","1"
"GO104_160000441","20160329","1"
"GO104_160000441","20160330","1"
"GO104_160000441","20160331","1"
"GO104_160000441","20160401","1"
"GO104_160000441","20160404","1"
"GO104_160000441","20160405","1"
"GO104_160000441","20160406","1"
"GO104_160000441","20160407","1"
"GO104_160000441","20160411","1"
"GO104_160000441","20160412","1"
"GO104_160000441","20160414","1"
"GO104_160000441","20160415","1"
"GO104_160000441","20160418","1"
"GO104_160000441","20160419","1"
"GO104_160000441","20160420","1"
"GO104_160000441","20160421","1"
"GO104_160000441","20160422","1"
"GO104_160000441","20160425","1"
"GO104_160000441","20160426","1"
"GO104_160000441","20160427","1"
"GO104_160000441","20160428","1"
"GO104_160000441","20160429","1"
"GO104_160000441","20160502","1"
"GO104_160000441","20160503","1"
"GO104_160000441","20160505","1"
"GO104_160000441","20160506","1"
"GO104_160000441","20160509","1"
"GO104_160000441","20160510","1"
"GO104_160000441","20160511","1"
"GO104_160000441","20160512","1"
"GO104_160000441","20160513","1"
"GO104_160000441","20160516","1"
"GO104_160000441","20160517","1"
"GO104_160000441","20160518","1"
"GO104_160000441","20160519","1"
"GO104_160000441","20160520","1"
"GO104_160000442","20160307","1"
"GO104_160000442","20160308","1"
"GO104_160000442","20160309","1"
"GO104_160000442","20160310","1"
"GO104_160000442","20160311","1"
"GO104_160000442","20160314","1"
"GO104_160000442","20160315","1"
"GO104_160000442","20160316","1"
"GO104_160000442","20160317","1"
"GO104_160000442","20160318","1"
"GO104_160000442","20160321","1"
"GO104_160000442","20160322","1"
"GO104_160000442","20160323","1"
"GO104_160000442","20160324","1"
"GO104_160000442","20160325","1"
"GO104_160000442","20160328","1"
"GO104_160000442","20160329","1"
"GO104_160000442","20160330","1"
"GO104_160000442","20160331","1"
"GO104_160000442","20160401","1"
"GO104_160000442","20160404","1"
"GO104_160000442","20160405","1"
"GO104_160000442","20160406","1"
"GO104_160000442","20160407","1"
"GO104_160000442","20160414","1"
"GO104_160000442","20160415","1"
"GO104_160000442","20160418","1"
"GO104_160000442","20160419","1"
"GO104_160000442","20160420","1"
"GO104_160000442","20160421","1"
"GO104_160000442","20160422","1"
"GO104_160000442","20160428","1"
"GO104_160000442","20160505","1"
"GO104_160000442","20160506","1"
"GO104_160000442","20160509","1"
"GO104_160000442","20160510","1"
"GO104_160000442","20160511","1"
"GO104_160000442","20160512","1"
"GO104_160000442","20160513","1"
"GO104_160000442","20160516","1"
"GO104_160000443","20160307","1"
"GO104_160000443","20160308","1"
"GO104_160000443","20160309","1"
"GO104_160000443","20160310","1"
"GO104_160000443","20160311","1"
"GO104_160000443","20160314","1"
"GO104_160000443","20160315","1"
"GO104_160000443","20160316","1"
"GO104_160000443","20160317","1"
"GO104_160000443","20160318","1"
"GO104_160000443","20160321","1"
"GO104_160000443","20160322","1"
"GO104_160000443","20160323","1"
"GO104_160000443","20160324","1"
"GO104_160000443","20160325","1"
"GO104_160000443","20160328","1"
"GO104_160000443","20160329","1"
"GO104_160000443","20160330","1"
"GO104_160000443","20160331","1"
"GO104_160000443","20160401","1"
"GO104_160000443","20160404","1"
"GO104_160000443","20160405","1"
"GO104_160000443","20160406","1"
"GO104_160000443","20160407","1"
"GO104_160000443","20160411","1"
"GO104_160000443","20160412","1"
"GO104_160000443","20160414","1"
"GO104_160000443","20160415","1"
"GO104_160000443","20160418","1"
"GO104_160000443","20160419","1"
"GO104_160000443","20160420","1"
"GO104_160000443","20160421","1"
"GO104_160000443","20160422","1"
"GO104_160000443","20160425","1"
"GO104_160000443","20160426","1"
"GO104_160000443","20160427","1"
"GO104_160000443","20160428","1"
"GO104_160000443","20160429","1"
"GO104_160000443","20160502","1"
"GO104_160000443","20160503","1"
"GO104_160000443","20160505","1"
"GO104_160000443","20160506","1"
